Pilar;Lance;Qtd(Qf);Bitola(mm);As Total (cm2)
P151;6;14;12.5;17.18
P151;7;14;12.5;17.18
P156;6;10;12.5;12.27
P156;7;10;12.5;12.27
P157;6;8;12.5;9.82
P157;7;8;12.5;9.82
P161;6;14;12.5;17.18
P161;7;14;12.5;17.18
P164;6;8;12.5;9.82
P164;7;8;12.5;9.82
P165;6;8;12.5;9.82
P165;7;8;12.5;9.82
P171;6;10;12.5;12.27
P171;7;10;12.5;12.27
P175;6;12;12.5;14.73
P175;7;12;12.5;14.73
P176;6;10;12.5;12.27
P176;7;10;12.5;12.27
P180;6;10;12.5;12.27
P180;7;10;12.5;12.27
P183;6;10;12.5;12.27
P183;7;10;12.5;12.27
