Pilar;Lance;Qtd(Qf);Bitola(mm);As Total (cm2)
P21;6;20;20;62.83
P21;7;20;20;62.83
P23;6;16;25;78.54
P23;7;16;25;78.54
P24;6;16;25;78.54
P24;7;16;25;78.54
P25;6;56;25;274.89
P25;7;56;25;274.89
P26;6;56;25;274.89
P26;7;56;25;274.89
P29;6;12;20;37.70
P29;7;10;20;31.42
P31;6;20;20;62.83
P31;7;20;20;62.83
P32;6;14;25;68.72
P32;7;14;25;68.72
P33;6;12;25;58.90
P33;7;12;25;58.90
P41;6;18;12.5;22.09
P41;7;18;12.5;22.09
P42;6;14;12.5;17.18
P42;7;14;12.5;17.18
P43;6;16;16;32.17
P43;7;16;16;32.17
P44;6;16;16;32.17
P44;7;14;16;28.15
P45;6;22;25;107.99
P45;7;20;25;98.17
P46;6;22;20;69.12
P46;7;20;20;62.83
P47;6;18;16;36.19
P47;7;18;16;36.19
P48A;6;34;16;68.36
P48A;7;28;16;56.30
P50;6;32;12.5;39.27
P50;7;32;12.5;39.27
