Pilar;Lance;Qtd(Qf);Bitola(mm);As Total (cm2)
P101;6;8;12.5;9.82
P101;7;8;12.5;9.82
P102;6;12;12.5;14.73
P102;7;12;12.5;14.73
P105;6;8;12.5;9.82
P105;7;8;12.5;9.82
P106;6;12;12.5;14.73
P106;7;12;12.5;14.73
P107;6;12;12.5;14.73
P107;7;12;12.5;14.73
P108;6;12;16;24.13
P108;7;12;12.5;14.73
P109;6;12;12.5;14.73
P109;7;12;12.5;14.73
P110;6;10;12.5;12.27
P110;7;10;12.5;12.27
P111;6;12;12.5;14.73
P111;7;12;12.5;14.73
P112;6;12;12.5;14.73
P112;7;12;12.5;14.73
P113;6;10;20;31.42
P113;7;10;20;31.42
P114;6;12;12.5;14.73
P114;7;12;12.5;14.73
P115;6;10;12.5;12.27
P115;7;10;12.5;12.27
P116;6;10;12.5;12.27
P116;7;10;12.5;12.27
P117;6;10;12.5;12.27
P117;7;10;12.5;12.27
P118;6;10;12.5;12.27
P118;7;10;12.5;12.27
P119;6;12;12.5;14.73
P119;7;12;12.5;14.73
P120;6;10;12.5;12.27
P120;7;10;12.5;12.27
P127;6;10;12.5;12.27
P127;7;10;12.5;12.27
P128;6;10;12.5;12.27
P128;7;10;12.5;12.27
P134;6;10;12.5;12.27
P134;7;10;12.5;12.27
P143;6;10;12.5;12.27
P143;7;10;12.5;12.27
P146;6;10;12.5;12.27
P146;7;10;12.5;12.27
P147;6;12;12.5;14.73
P147;7;12;12.5;14.73
P153;6;10;12.5;12.27
P153;7;10;12.5;12.27
P154;6;10;12.5;12.27
P154;7;10;12.5;12.27
P158;6;10;12.5;12.27
P158;7;10;12.5;12.27
P160;6;10;12.5;12.27
P160;7;10;12.5;12.27
P162;6;10;12.5;12.27
P162;7;10;12.5;12.27
P166;6;10;12.5;12.27
P166;7;10;12.5;12.27
P167;6;10;12.5;12.27
P167;7;10;12.5;12.27
P168;6;10;12.5;12.27
P168;7;10;12.5;12.27
P170;6;10;12.5;12.27
P170;7;10;12.5;12.27
P172;6;10;12.5;12.27
P172;7;10;12.5;12.27
P173;6;10;12.5;12.27
P173;7;10;12.5;12.27
P174;6;10;12.5;12.27
P174;7;10;12.5;12.27
P177;6;10;12.5;12.27
P177;7;10;12.5;12.27
P178;6;10;12.5;12.27
P178;7;10;12.5;12.27
P182;6;10;12.5;12.27
P182;7;10;12.5;12.27
